,created_at,id,id_str,sentiment,School_reopening,2020Election,News_State_Economy,Policies_Mask_Safty,General_Critics,dominant_topic
174,2020-08-08 23:29:55+00:00,1.29E+18,1.29E+18,1,0.17,0.67,0.13,0.02,0.02,1
175,2020-08-08 23:29:54+00:00,1.29E+18,1.29E+18,1,0.1,0.6,0.1,0.1,0.1,1
176,2020-08-08 23:29:53+00:00,1.29E+18,1.29E+18,-1,0.02,0.92,0.02,0.02,0.02,1
177,2020-08-08 23:29:27+00:00,1.29E+18,1.29E+18,0,0.1,0.1,0.1,0.6,0.1,3
178,2020-08-08 23:29:17+00:00,1.29E+18,1.29E+18,1,0.03,0.03,0.28,0.62,0.03,3
179,2020-08-08 23:29:15+00:00,1.29E+18,1.29E+18,1,0.03,0.52,0.14,0.28,0.03,1
180,2020-08-08 23:29:06+00:00,1.29E+18,1.29E+18,1,0.04,0.47,0.04,0.41,0.04,1
181,2020-08-08 23:28:48+00:00,1.29E+18,1.29E+18,-1,0.04,0.84,0.04,0.04,0.04,1
182,2020-08-08 23:28:23+00:00,1.29E+18,1.29E+18,1,0.04,0.04,0.04,0.84,0.04,3
183,2020-08-08 23:28:18+00:00,1.29E+18,1.29E+18,-1,0.8,0.05,0.05,0.05,0.05,0
184,2020-08-08 23:28:08+00:00,1.29E+18,1.29E+18,-1,0.02,0.68,0.02,0.02,0.25,1
185,2020-08-08 23:28:04+00:00,1.29E+18,1.29E+18,1,0.05,0.05,0.8,0.05,0.05,2
186,2020-08-08 23:28:00+00:00,1.29E+18,1.29E+18,0,0.03,0.67,0.03,0.03,0.23,1
187,2020-08-08 23:27:53+00:00,1.29E+18,1.29E+18,1,0.22,0.03,0.28,0.44,0.03,3
188,2020-08-08 23:27:41+00:00,1.29E+18,1.29E+18,0,0.27,0.65,0.03,0.03,0.03,1
189,2020-08-08 23:27:40+00:00,1.29E+18,1.29E+18,-1,0.04,0.58,0.04,0.04,0.29,1
190,2020-08-08 23:27:20+00:00,1.29E+18,1.29E+18,-1,0.02,0.02,0.13,0.21,0.62,4
191,2020-08-08 23:27:12+00:00,1.29E+18,1.29E+18,0,0.02,0.69,0.02,0.02,0.25,1
192,2020-08-08 23:27:12+00:00,1.29E+18,1.29E+18,-1,0.6,0.1,0.1,0.1,0.1,0
193,2020-08-08 23:27:05+00:00,1.29E+18,1.29E+18,-1,0.02,0.02,0.02,0.93,0.02,3
194,2020-08-08 23:27:01+00:00,1.29E+18,1.29E+18,0,0.4,0.34,0.03,0.19,0.03,0
195,2020-08-08 23:26:43+00:00,1.29E+18,1.29E+18,1,0.07,0.07,0.07,0.07,0.73,4
196,2020-08-08 23:26:40+00:00,1.29E+18,1.29E+18,1,0.54,0.03,0.38,0.03,0.03,0
197,2020-08-08 23:26:20+00:00,1.29E+18,1.29E+18,-1,0.2,0.2,0.2,0.2,0.2,0
198,2020-08-08 23:26:10+00:00,1.29E+18,1.29E+18,1,0.07,0.46,0.07,0.34,0.07,1
199,2020-08-08 23:26:08+00:00,1.29E+18,1.29E+18,-1,0.05,0.05,0.05,0.8,0.05,3
200,2020-08-08 23:26:05+00:00,1.29E+18,1.29E+18,0,0.02,0.91,0.02,0.02,0.02,1
201,2020-08-08 23:26:01+00:00,1.29E+18,1.29E+18,0,0.75,0.16,0.03,0.03,0.03,0
202,2020-08-08 23:25:39+00:00,1.29E+18,1.29E+18,-1,0.46,0.05,0.05,0.39,0.05,0
203,2020-08-08 23:25:33+00:00,1.29E+18,1.29E+18,0,0.03,0.58,0.03,0.15,0.21,1
204,2020-08-08 23:25:25+00:00,1.29E+18,1.29E+18,-1,0.05,0.05,0.29,0.05,0.56,4
205,2020-08-08 23:24:50+00:00,1.29E+18,1.29E+18,0,0.1,0.1,0.1,0.6,0.1,3
206,2020-08-08 23:24:29+00:00,1.29E+18,1.29E+18,1,0.2,0.2,0.2,0.2,0.2,0
207,2020-08-08 23:24:24+00:00,1.29E+18,1.29E+18,0,0.1,0.6,0.1,0.1,0.1,1
208,2020-08-08 23:24:03+00:00,1.29E+18,1.29E+18,0,0.03,0.03,0.03,0.24,0.67,4
209,2020-08-08 23:24:03+00:00,1.29E+18,1.29E+18,-1,0.03,0.89,0.03,0.03,0.03,1
210,2020-08-08 23:23:59+00:00,1.29E+18,1.29E+18,0,0.1,0.1,0.1,0.6,0.1,3
211,2020-08-08 23:23:57+00:00,1.29E+18,1.29E+18,0,0.07,0.07,0.07,0.73,0.07,3
